一區平均每日交通量調查資料表(總表2)
縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
新北市,Ⅰ-I48,板橋交流道,21,800,121.4727143,25.0161811,台64線,板橋交流道,新店,20,880,28,390,平原區,7.5,21.6,東,3.4,3.4,,,,,,0.5,44868,492,2346,6,242,727,48681,50305,365108,3682,8,9,0.51,
新北市,Ⅰ-I48,板橋交流道,21,800,121.4727143,25.0161811,台64線,板橋交流道,新店,20,880,28,390,平原區,7.5,21.6,西,3.4,3.4,,,,,,0.5,47175,394,2200,13,187,795,50764,52143,380730,3547,7,8,0.51,
新北市,Ⅰ-I49,泰山交流道,0,850,121.4416258,25.059329,台65線,五股端,新莊一交流道,0,0,1,825,平原區,1.8,19.8,北,3.5,3.5,,,,,,1.5,30543,176,1887,13,588,224,33431,35575,60176,2576,7,8,0.53,
新北市,Ⅰ-I49,泰山交流道,0,850,121.4416258,25.059329,台65線,五股端,新莊一交流道,0,0,1,825,平原區,1.8,19.8,南,3.5,3.5,,,,,,1.5,30936,163,1995,20,736,218,34068,36573,61322,2857,17,18,0.53,
新北市,Ⅰ-I50,新莊二交流道,3,800,121.4420533,25.0334934,台65線,新莊一交流道,板橋一交流道,1,825,5,350,平原區,3.5,26.8,北,3.4,3.4,3.4,,,,,1.5,28117,178,1634,16,576,227,30748,32747,107618,2583,8,9,0.5,
新北市,Ⅰ-I50,新莊二交流道,3,800,121.4420533,25.0334934,台65線,新莊一交流道,板橋一交流道,1,825,5,350,平原區,3.5,26.8,南,3.4,3.4,3.4,,,,,1.5,26371,167,1771,21,697,181,29208,31542,102228,2581,17,18,0.5,
新北市,Ⅰ-I51,板橋二交流道,8,300,121.4484627,24.9967417,台65線,板橋一交流道,土城一交流道,5,350,10,706,平原區,5.4,19.8,北,3.3,3.3,,,,,,1.5,30131,321,2003,16,586,214,33271,35552,179663,2809,17,18,0.53,
新北市,Ⅰ-I51,板橋二交流道,8,300,121.4484627,24.9967417,台65線,板橋一交流道,土城一交流道,5,350,10,706,平原區,5.4,19.8,南,3.3,3.3,,,,,,1.5,28613,256,1886,22,576,192,31545,33735,170343,2457,18,19,0.53,
新北市,Ⅰ-I52,土城交流道,12,200,121.4325279,24.9664931,台65線,土城一交流道,土城,10,706,12,357,平原區,1.7,19.8,北,3.3,3.5,,,,,,1,26695,307,1671,17,471,0,29161,31127,49574,2420,17,18,0.5,
新北市,Ⅰ-I52,土城交流道,12,200,121.4325279,24.9664931,台65線,土城一交流道,土城,10,706,12,357,平原區,1.7,19.8,南,3.3,3.5,,,,,,1,26860,212,1609,30,452,1,29164,31039,49579,2439,7,8,0.5,
