"","縣市別","調查站_編號","調查站_地點","調查站_樁號_K","調查站_樁號_百位數","調查站_座標_經度","調查站_座標_緯度","路線編號","起迄地名_起點","起迄地名_迄點","起點樁號_K","起點樁號_百位數","迄點樁號_K","迄點樁號_百位數","地形","里程(公里)","路面寬度(公尺)","方向(往)","車道佈設_快車道寬度(公尺)_1","車道佈設_快車道寬度(公尺)_2","車道佈設_快車道寬度(公尺)_3","車道佈設_快車道寬度(公尺)_4","車道佈設_快車道寬度(公尺)_5","車道佈設_機慢車道寬度(公尺)_1","車道佈設_機慢車道寬度(公尺)_2","車道佈設_路肩寬度(公尺)","各車種車輛數(輛/日)_小型車","各車種車輛數(輛/日)_大客車","各車種車輛數(輛/日)_大貨車","各車種車輛數(輛/日)_全聯結車","各車種車輛數(輛/日)_半聯結車","各車種車輛數(輛/日)_機車","各車種車輛數(輛/日)_合計","總計_流量(PCU)","總計_車公里","尖峰小時_交通量(PCU)","尖峰小時_時段_起","尖峰小時_時段_迄","方向係數","備註"
"274","台南市","V-I37","大內交流道",32,0,"E120.36788","N23.14530","台84線","台一","走馬瀨",26,462,37,800,"平原區",11.3,18.8,"西",3.5,3.6,NA,NA,NA,NA,NA,2.3,5742,51,91,2,71,67,6024,6215,68071,714,10,11,0.58,"六"
"275","台南市","V-I38","玉豐大橋",40,470,"E120.43550","N23.13744","台84線","走馬瀨","玉井端",37,800,41,428,"平原區",3.6,22,"東",3.5,3.5,NA,NA,NA,2,NA,2,6913,108,272,1,91,1200,8585,8599,30906,773,11,12,0.54,"日"
"276","台南市","V-I38","玉豐大橋",40,470,"E120.43550","N23.13744","台84線","走馬瀨","玉井端",37,800,41,428,"平原區",3.6,22,"西",3.5,3.5,NA,NA,NA,2,NA,2,6348,150,221,0,85,899,7703,7789,27731,660,15,16,0.54,"日"
"277","台南市","V-I39","明興路上方",0,550,"E120.29371","N22.90994","台86線","台１７線","灣裡交流道",0,0,2,0,"平原區",2,18,"東",3.5,3.5,NA,NA,NA,NA,NA,2,15485,49,335,13,554,52,16488,17794,32976,1498,17,18,0.52,"六"
"278","台南市","V-I39","明興路上方",0,550,"E120.29371","N22.90994","台86線","台１７線","灣裡交流道",0,0,2,0,"平原區",2,18,"西",3.5,3.5,NA,NA,NA,NA,NA,2,15994,67,425,21,497,32,17036,18306,34072,1624,11,12,0.52,"六"
"279","台南市","V-I40","路橋下",3,700,"E120.20979","N22.92728","台86線","灣裡交流道","台南交流道",2,0,5,300,"平原區",3.3,18,"東",3.5,3.5,NA,NA,NA,NA,NA,2,21617,104,121,8,460,71,22381,23402,73857,2428,7,8,0.53,"四"
"280","台南市","V-I40","路橋下",3,700,"E120.20979","N22.92728","台86線","灣裡交流道","台南交流道",2,0,5,300,"平原區",3.3,18,"西",3.5,3.5,NA,NA,NA,NA,NA,2,21633,140,118,10,577,9,22487,23786,74207,2159,18,19,0.53,"四"
"281","台南市","V-I41","鋼拱橋",6,0,"E120.28579","N23.00671","台86線","台南交流道","仁德系統交流道",5,300,8,400,"平原區",3.1,19,"東",3.5,3.5,NA,NA,NA,NA,NA,2.5,36686,218,740,37,803,71,38555,40686,119521,3717,17,18,0.5,"六"
"282","台南市","V-I41","鋼拱橋",6,0,"E120.28579","N23.00671","台86線","台南交流道","仁德系統交流道",5,300,8,400,"平原區",3.1,19,"西",3.5,3.5,NA,NA,NA,NA,NA,2.5,37002,199,930,36,732,97,38996,41058,120888,3648,15,16,0.5,"六"
"283","台南市","V-I42","農路高架橋",10,600,"E120.27193","N22.96850","台86線","仁德系統交流道","大潭交流道",8,400,11,600,"平原區",3.2,20,"東",3.5,3.5,NA,NA,NA,NA,NA,3,27143,153,661,39,840,57,28893,31036,92458,3347,10,11,0.52,"六"
"284","台南市","V-I42","農路高架橋",10,600,"E120.27193","N22.96850","台86線","仁德系統交流道","大潭交流道",8,400,11,600,"平原區",3.2,20,"西",3.5,3.5,NA,NA,NA,NA,NA,3,27455,167,549,32,992,49,29244,31631,93581,3636,17,18,0.52,"六"
"285","台南市","V-I43","２１號橋",14,800,"E120.29371","N22.90994","台86線","大潭交流道","歸仁交流道",11,600,16,600,"平原區",5,20,"東",3.5,3.5,NA,NA,NA,NA,NA,3,11193,87,562,34,703,3,12582,14380,62910,1127,14,15,0.5,"六"
"286","台南市","V-I43","２１號橋",14,800,"E120.29371","N22.90994","台86線","大潭交流道","歸仁交流道",11,600,16,600,"平原區",5,20,"西",3.5,3.5,NA,NA,NA,NA,NA,3,10687,88,483,24,699,1,11982,13714,59910,1136,17,18,0.5,"六"
"287","台南市","V-I44","關廟端加油站",18,700,"E120.31644","N22.97389","台86線","歸仁交流道","關廟",16,600,18,900,"平原區",2.3,17.6,"東",3.5,3.5,NA,NA,NA,1.5,NA,0.3,17094,115,333,15,652,458,18667,20089,42934,2537,10,11,0.55,"四"
"288","台南市","V-I44","關廟端加油站",18,700,"E120.31644","N22.97389","台86線","歸仁交流道","關廟",16,600,18,900,"平原區",2.3,17.6,"西",3.5,3.5,NA,NA,NA,1.5,NA,0.3,15928,106,291,14,682,466,17487,18938,40220,2096,17,18,0.55,"四"
"289","嘉義縣","V-I45","大義路",20,400,"E120.48070","N23.45118","台18線","後庄","大義路",20,400,20,500,"平原區",0.1,12.6,"東",3.5,NA,NA,NA,NA,NA,NA,2.8,10693,143,287,3,68,2357,13551,12945,1355,1042,17,18,0.58,"六"
"290","嘉義縣","V-I45","大義路",20,400,"E120.48070","N23.45118","台18線","後庄","大義路",20,400,20,500,"平原區",0.1,12.6,"西",3.5,NA,NA,NA,NA,NA,NA,2.8,11422,130,263,3,44,3075,14937,13887,1494,1457,17,18,0.58,"六"
"291","嘉義縣","V-I46","頂六",21,750,"E120.49472","N23.44583","台18線","大義路","頂六",20,500,21,750,"平原區",1.2,18.2,"東",3.4,3.4,NA,NA,NA,NA,NA,2.3,11752,216,202,5,129,3257,15561,14735,20229,1290,12,13,0.54,"日"
