"","縣市別","調查站_編號","調查站_地點","調查站_樁號_K","調查站_樁號_百位數","調查站_座標_經度","調查站_座標_緯度","路線編號","起迄地名_起點","起迄地名_迄點","起點樁號_K","起點樁號_百位數","迄點樁號_K","迄點樁號_百位數","地形","里程(公里)","路面寬度(公尺)","方向(往)","車道佈設_快車道寬度(公尺)_1","車道佈設_快車道寬度(公尺)_2","車道佈設_快車道寬度(公尺)_3","車道佈設_快車道寬度(公尺)_4","車道佈設_快車道寬度(公尺)_5","車道佈設_機慢車道寬度(公尺)_1","車道佈設_機慢車道寬度(公尺)_2","車道佈設_路肩寬度(公尺)","各車種車輛數(輛/日)_小型車","各車種車輛數(輛/日)_大客車","各車種車輛數(輛/日)_大貨車","各車種車輛數(輛/日)_全聯結車","各車種車輛數(輛/日)_半聯結車","各車種車輛數(輛/日)_機車","各車種車輛數(輛/日)_合計","總計_流量(PCU)","總計_車公里","尖峰小時_交通量(PCU)","尖峰小時_時段_起","尖峰小時_時段_迄","方向係數","備註"
"1","新北市","Ⅰ-01","忠孝大橋",2,0,"121.50382","25.0502347","台1線","台北","化成路",1,439,6,100,"平原區",4.7,28,"北",3.1,3.3,3.4,0,0,2.4,0,0.2,43130,1214,1660,4,180,23095,69283,64160,325630,7100,8,9,0.5,"快慢分隔,1車道"
"2","新北市","Ⅰ-01","忠孝大橋",2,0,"121.50382","25.0502347","台1線","台北","化成路",1,439,6,100,"平原區",4.7,28,"南",3.1,3.3,3.5,0,0,1.3,1.3,0.2,45675,1393,1230,2,268,23670,72238,66989,339519,6996,18,19,0.5,"快慢分隔,1車道"
"3","新北市","Ⅰ-02","新莊思源路口",7,0,"121.4546055","25.060429","台1線","化成路","新莊",6,100,11,863,"平原區",5.8,29.4,"北",3.3,3.4,0,0,0,3.9,0,0.7,14107,179,894,7,82,10775,26044,23527,151055,2398,8,9,0.6,"快慢分隔,1車道"
"4","新北市","Ⅰ-02","新莊思源路口",7,0,"121.4546055","25.060429","台1線","化成路","新莊",6,100,11,863,"平原區",5.8,29.4,"南",3.3,3.4,0,0,0,3.9,0,0.7,6277,63,369,2,62,10769,17542,14656,101744,1598,7,8,0.6,"快慢分隔,1車道"
"5","新北市","Ⅰ-03","近新五路口匝道",7,0,"121.453437","25.0605974","台1線","化成路","新莊",5,500,9,500,"平原區",4,18.6,"北",3.6,3.6,0,0,0,0,0,1.3,19517,241,786,0,47,648,21239,21588,84956,1638,7,8,0.58,"高架段"
"6","新北市","Ⅰ-03","近新五路口匝道",7,0,"121.453437","25.0605974","台1線","化成路","新莊",5,500,9,500,"平原區",4,18.6,"南",3.6,3.6,0,0,0,0,0,1.7,25989,331,980,2,77,759,28138,28648,112552,2246,7,8,0.58,"高架段"
"7","新北市","Ⅰ-04","明志路口",12,200,"121.4208484","25.0321823","台1線","新莊","桃園市市界",11,863,14,60,"平原區",2.2,28,"北",3.3,3.2,3.3,0,0,0,0,0.2,13398,86,731,2,68,8564,22849,19972,50268,2022,17,18,0.56,NA
"8","新北市","Ⅰ-04","明志路口",12,200,"121.4208484","25.0321823","台1線","新莊","桃園市市界",11,863,14,60,"平原區",2.2,28,"南",3.3,3.3,4.4,0,0,0,0,0.2,13602,104,677,1,84,9171,23639,20532,52006,2554,7,8,0.56,NA
"9","桃園市","Ⅰ-05","塔寮坑",14,800,"121.4055728","25.018181","台1線","新北市市界","嶺頂",14,60,19,0,"平原區",4.9,31.8,"北",3.5,3.5,3.5,0,0,4,0,0.6,13824,467,1181,4,169,15910,31555,27953,154620,2972,17,18,0.51,NA
"10","桃園市","Ⅰ-05","塔寮坑",14,800,"121.4055728","25.018181","台1線","新北市市界","嶺頂",14,60,19,0,"平原區",4.9,31.8,"南",3.5,3.5,3.5,0,0,0,0,4,13578,463,1187,2,153,13010,28393,24325,139126,2883,7,8,0.51,NA
"11","桃園市","Ⅰ-06","嶺頂",19,800,"121.363976","25.0010016","台1線","嶺頂","龜山",19,0,22,0,"平原區",3,16.2,"北",3.5,3.5,0,0,0,0,0,1.2,8227,74,778,3,80,8784,17946,15024,53838,1634,17,18,0.58,NA
"12","桃園市","Ⅰ-06","嶺頂",19,800,"121.363976","25.0010016","台1線","嶺頂","龜山",19,0,22,0,"平原區",3,16.2,"南",3.5,3.5,0,0,0,0,0,0.8,6115,61,556,2,54,5116,11904,10279,35712,1184,7,8,0.58,NA
"13","桃園市","Ⅰ-07","龜山",23,150,"121.3326617","24.9971367","台1線","龜山","永安橋",22,0,29,219,"平原區",7.2,25,"北",3.5,3.5,0,0,0,2,0,2.2,13908,66,561,6,78,11697,26316,23289,189475,3091,7,8,0.55,NA
"14","桃園市","Ⅰ-07","龜山",23,150,"121.3326617","24.9971367","台1線","龜山","永安橋",22,0,29,219,"平原區",7.2,25,"南",3.5,3.5,0,0,0,2,0,2.3,13945,68,703,6,86,13154,27962,24586,201326,2493,7,8,0.55,NA
"15","桃園市","Ⅰ-08","南茄苳",30,900,"121.2695349","24.97744428","台1線","永安橋","桃圳橋",29,219,31,529,"平原區",2.3,24.2,"北",3.4,3.3,3.3,0,0,0,0,0.6,12632,295,350,0,7,15014,28298,22629,65085,2107,7,8,0.55,NA
"16","桃園市","Ⅰ-08","南茄苳",30,900,"121.2695349","24.97744428","台1線","永安橋","桃圳橋",29,219,31,529,"平原區",2.3,24.2,"南",3.4,3.3,3.3,0,0,0,0,0.6,15293,366,360,0,85,18670,34774,27839,79980,2588,7,8,0.55,NA
"17","桃園市","Ⅰ-09","埔頂",35,200,"121.2316567","24.96367972","台1線","桃圳橋","112線交岔路口",31,529,37,926,"平原區",6.4,24.2,"北",3.5,3.5,3.5,0,0,0,0,0.6,13138,531,340,1,21,11420,25451,21363,162886,1912,7,8,0.53,NA
"18","桃園市","Ⅰ-09","埔頂",35,200,"121.2316567","24.96367972","台1線","桃圳橋","112線交岔路口",31,529,37,926,"平原區",6.4,24.2,"南",3.5,3.5,3.5,0,0,0,0,0.6,15621,560,364,0,15,15478,32038,26339,205043,2171,7,8,0.53,NA
"19","桃園市","Ⅰ-10","平興國中",39,200,"121.206437","24.94934868","台1線","112線交岔路口","大埔尾",37,926,39,753,"平原區",1.8,24.2,"北",3.5,3.5,0,0,0,0,0,4,8841,63,232,0,7,5421,14564,12558,26215,1447,7,8,0.53,NA
"20","桃園市","Ⅰ-10","平興國中",39,200,"121.206437","24.94934868","台1線","112線交岔路口","大埔尾",37,926,39,753,"平原區",1.8,24.2,"南",3.5,3.5,0,0,0,0,0,4,9476,64,289,0,18,4430,14277,12718,25699,1274,17,18,0.53,NA
"21","桃園市","Ⅰ-11","平鎮",43,50,"121.187577","24.923261","台1線","大埔尾","埔心",39,753,43,592,"平原區",3.8,24.2,"北",3.5,3.5,0,0,0,2,0,1.3,10030,149,477,0,45,8401,19102,16986,72588,1857,7,8,0.51,NA
"22","桃園市","Ⅰ-11","平鎮",43,50,"121.187577","24.923261","台1線","大埔尾","埔心",39,753,43,592,"平原區",3.8,24.2,"南",3.5,3.5,0,0,0,4.2,0,0.1,11253,182,548,0,54,9568,21605,19208,82099,1925,7,8,0.51,NA
"23","桃園市","Ⅰ-12","楊梅",48,0,"121.145381","24.90690599","台1線","埔心","新竹縣縣界",43,592,51,966,"平原區",8.4,24.6,"北",3.5,3.5,0,0,0,0,0,4.3,8404,74,698,24,194,3074,12468,12060,104731,1217,17,18,0.59,NA
"24","桃園市","Ⅰ-12","楊梅",48,0,"121.145381","24.90690599","台1線","埔心","新竹縣縣界",43,592,51,966,"平原區",8.4,24.6,"南",3.5,3.5,3.3,0,0,0,0,1,9669,97,831,23,238,3721,14579,14078,122464,1786,7,8,0.59,NA
"25","新竹縣","Ⅰ-13","長安站",54,400,"121.0864895","24.8877403","台1線","桃園市縣市界","湖口",51,966,57,926,"平原區",6,24.6,"北",3.5,3.5,0,0,0,2,0,1.8,4225,26,356,10,56,2359,7032,6647,42192,797,17,18,0.54,NA
"26","新竹縣","Ⅰ-13","長安站",54,400,"121.0864895","24.8877403","台1線","桃園市縣市界","湖口",51,966,57,926,"平原區",6,24.6,"南",3.5,3.5,0,0,0,2,0,2,3860,25,344,10,50,2331,6620,6226,39720,943,7,8,0.54,NA
"27","新竹縣","Ⅰ-14","波羅汶",60,700,"121.0381867","24.8798273","台1線","湖口","老湖口",57,926,60,918,"平原區",3,25.2,"北",3.5,3.5,0,0,0,2,0,2.2,3566,51,287,10,52,2004,5970,5663,17910,584,17,18,0.51,NA
