"","x"
"1",2.37128681150382
"2",1.54681529677892
"3",1.22223497405069
"4",1.01603168082945
"5",0.906427619742737
"6",0.878865814561565
"7",0.760659071323165
"8",0.72583912113274
"9",0.561284578554364
"10",0.425998451293882
"11",0.357973685845387
"12",0.275051257515613
"13",0.237722866856984
"14",0.0435454995780783
