縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註,,
花蓮縣,IV-46,大禹嶺,41,250,E121.30576,N24.17582,台14甲線,松雪樓,大禹嶺,32,975,41,694,山嶺區,8.7,9.8,南,4.1,,,,,-,,0.8,0,0,0,0,0,0,0,-,-,-,-,-,-,,,
花蓮縣,IV-47,富里,1,500,E121.25128,N23.17238,台23線,富里,東河,0,000,16,563,山嶺區,16.6,9.0,北,3.7,,,,,-,,0.8,447,4,14,0,0,271,736,"1,032","12,218",124,7,8,0.50 ,,,
花蓮縣,IV-47,富里,1,500,E121.25128,N23.17238,台23線,富里,東河,0,000,16,563,山嶺區,16.6,9.0,南,3.7,,,,,-,,0.8,442,4,13,0,0,277,736,"1,025","12,218",102,7,8,0.50 ,,,
花蓮縣,IV-48,安通(玉長公路),26,000,E121.35686,N23.26542,台30線,玉里,寧埔,15,100,28,822,山嶺區,13.7,9.0,東,3.5,,,,,-,,1,655,6,12,0,2,129,804,"1,198","11,015",159,15,16,0.53 ,,,
花蓮縣,IV-48,安通(玉長公路),26,000,E121.35686,N23.26542,台30線,玉里,寧埔,15,100,28,822,山嶺區,13.7,9.0,西,3.5,,,,,-,,1,755,14,15,0,2,121,907,"1,384","12,426",192,15,16,0.53 ,,,
宜蘭縣,IV-50,蘇澳管制站,2,300,E121.85743,N24.59444,台9丁線,蘇澳國中,東澳車站,0,000,17,290,丘陵區,4.2,10.6,北,4.8,,,,,-,,0.5,"1,380",13,83,0,221,550,"2,247","3,048","38,873",727,14,15,0.73 ,,,
宜蘭縣,IV-50,蘇澳管制站,2,300,E121.85743,N24.59444,台9丁線,蘇澳國中,東澳車站,0,000,17,290,丘陵區,4.2,10.6,南,4.8,,,,,-,,0.5,335,2,4,0,4,505,850,626,"14,705",63,15,16,0.73 ,,,
宜蘭縣,IV-51,武塔葉家鄉,32,000,E121.77854,N24.44897,台9丁線,東澳車站,南溪,17,290,33,504,丘陵區,4.2,10.4,北,4.6,,,,,-,,0.6,289,0,5,0,16,193,503,481,"8,149",85,11,12,0.55 ,,,
宜蘭縣,IV-51,武塔葉家鄉,32,000,E121.77854,N24.44897,台9丁線,東澳車站,南溪,17,290,33,504,丘陵區,4.2,10.4,南,4.6,,,,,-,,0.6,250,0,8,0,15,138,411,418,"6,658",73,15,16,0.55 ,,,
花蓮縣,IV-57,水璉,23,000,E121.563451,N23.78778,台11線,花蓮大橋,水璉,5,922,24,027,丘陵區,18.1,14.4,北,3.5,,,,,2.0,,1.7,"1,989",21,8,0,42,261,"2,321","2,304","42,010",339,14,15,0.58 ,,,
花蓮縣,IV-57,水璉,23,000,E121.563451,N23.78778,台11線,花蓮大橋,水璉,5,922,24,027,丘陵區,18.1,14.4,南,3.5,,,,,2.0,,1.7,"1,464",10,13,0,27,186,"1,700","1,684","30,770",143,14,15,0.58 ,,,
花蓮縣,IV-58,磯碕,37,200,E121.54999,N23.70698,台11線,水璉,磯琦,24,027,37,500,平原區,13.5,7.2,北,3.5,,,,,-,,0.1,"1,497",34,64,0,58,249,"1,902","1,992","25,677",241,15,16,0.58 ,,,
花蓮縣,IV-58,磯碕,37,200,E121.54999,N23.70698,台11線,水璉,磯琦,24,027,37,500,平原區,13.5,7.2,南,3.5,,,,,-,,0.1,"1,136",33,40,0,27,151,"1,387","1,439","18,725",149,15,16,0.58 ,,,
花蓮縣,IV-56,立德,54,200,E121.51421,N23.56124,台11線,豐濱,立德,50,495,54,500,山嶺區,4.0,12.6,北,3.5,,,,,2.0,,0.8,"1,268",42,52,0,55,296,"1,713","1,973","6,852",170,14,15,0.55 ,,,
花蓮縣,IV-56,立德,54,200,E121.51421,N23.56124,台11線,豐濱,立德,50,495,54,500,山嶺區,4.0,12.6,南,3.5,,,,,2.0,,0.8,"1,135",43,39,0,30,177,"1,424","1,620","5,696",184,14,15,0.55 ,,,
花蓮縣,IV-57,靜浦,68,000,E121.48545,N23.46355,台11線,立德,靜浦,54,500,69,224,丘陵區,14.7,14.6,北,3.5,,,,,2.0,,1.8,"1,176",31,4,0,47,239,"1,497","1,636","22,006",177,14,15,0.54 ,,,
花蓮縣,IV-57,靜浦,68,000,E121.48545,N23.46355,台11線,立德,靜浦,54,500,69,224,丘陵區,14.7,14.6,南,3.5,,,,,2.0,,1.8,"1,032",32,3,0,24,167,"1,258","1,341","18,493",165,14,15,0.54 ,,,
花蓮縣,IV-59,富田,4,000,E121.45868,N23.65242,台11甲線,富田,豐濱,4,000,19,238,平原區,15.2,8.2,東,3.1,,,,,-,,1,422,5,6,0,0,113,546,801,"8,299",85,12,13,0.51 ,,,
花蓮縣,IV-59,富田,4,000,E121.45868,N23.65242,台11甲線,富田,豐濱,4,000,19,238,平原區,15.2,8.2,西,3.1,,,,,-,,1,424,7,8,0,0,126,565,837,"8,588",66,12,13,0.51 ,,,
花蓮縣,IV-61,溪口,18,301,E121.47210,N23.81683,台11丙線,壽豐,溪口,10,000,18,301,平原區,8.7,19.6,北,3.5,3.5,,,,2,,0.8,"1,629",25,100,0,133,85,"1,972","4,085","17,156",497,9,10,0.54 ,,,
花蓮縣,IV-61,溪口,18,301,E121.47210,N23.81683,台11丙線,壽豐,溪口,10,000,18,301,平原區,8.7,19.6,南,3.5,3.5,,,,2,,0.8,"1,886",24,85,0,144,132,"2,271","4,514","19,758",429,15,16,0.54 ,,,
