縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
臺中市,Ⅱ-II11,烏日高鐵站區,4,20,120.6199035,24.12195554,台74線,筏子溪橋,高鐵台中交流道,2,500,4,500,平原區,2,29.4,西,3.7,3.7,3.7,,,,,2.9,37354,273,2269,31,979,390,41296,44432,82592,3604,7,8,0.55,
臺中市,Ⅱ-II12,南屯一交流道,4,750,120.6200334,24.12581201,台74線,高鐵台中交流道,南屯一交流道,4,500,5,500,平原區,1,31,東,3.7,3.7,3.8,,,,,4,52740,558,2851,37,1152,493,57831,61717,57831,5531,7,8,0.57,
臺中市,Ⅱ-II12,南屯一交流道,4,750,120.6200334,24.12581201,台74線,高鐵台中交流道,南屯一交流道,4,500,5,500,平原區,1,31,西,3.7,3.7,3.8,,,,,3,45100,524,2292,28,830,420,49194,52150,49194,4215,17,18,0.57,
臺中市,Ⅱ-II13,南屯二交流道,6,900,120.6235209,24.14869501,台74線,南屯一交流道,南屯二交流道,5,500,7,500,平原區,2,29.3,東,3.6,3.7,3.7,,,,,2.8,37190,492,1769,24,695,328,40498,42936,80996,3973,7,8,0.54,
臺中市,Ⅱ-II13,南屯二交流道,6,900,120.6235209,24.14869501,台74線,南屯一交流道,南屯二交流道,5,500,7,500,平原區,2,29.3,西,3.7,3.7,3.6,,,,,2.9,34853,432,1563,10,560,332,37750,39755,75500,3404,7,8,0.54,
臺中市,Ⅱ-II14,西屯一交流道,8,450,120.6270844,24.16043652,台74線,南屯二交流道,西屯二交流道,7,500,9,500,平原區,2,28.8,東,3.6,3.6,3.7,,,,,2.7,40102,343,2810,26,816,429,44526,47615,89052,4130,7,8,0.55,
臺中市,Ⅱ-II14,西屯一交流道,8,450,120.6270844,24.16043652,台74線,南屯二交流道,西屯二交流道,7,500,9,500,平原區,2,28.8,西,3.5,3.5,3.6,,,,,2.8,32424,282,2049,15,555,385,35710,37862,71420,3387,7,8,0.55,
臺中市,Ⅱ-II15,西屯二交流道,9,800,120.6329527,24.17111987,台74線,西屯二交流道,西屯三交流道,9,500,10,940,平原區,1.4,33.3,東,3.6,3.6,3.7,3.7,,,,1.1,53381,407,3096,28,848,551,58311,61595,81635,5362,7,8,0.51,
臺中市,Ⅱ-II15,西屯二交流道,9,800,120.6329527,24.17111987,台74線,西屯二交流道,西屯三交流道,9,500,10,940,平原區,1.4,33.3,西,3.6,3.6,3.7,3.7,,,,1,47601,334,2838,15,619,558,51965,54596,72751,5233,7,8,0.51,
臺中市,Ⅱ-II16,北屯一交流道,12,0,120.6437618,24.19386408,台74線,西屯三交流道,北屯一交流道,10,940,13,0,平原區,2.1,28.2,東,3.6,3.6,3.6,,,,,2.5,51956,331,2700,15,862,635,56499,59515,118648,4468,16,17,0.5,
臺中市,Ⅱ-II16,北屯一交流道,12,0,120.6437618,24.19386408,台74線,西屯三交流道,北屯一交流道,10,940,13,0,平原區,2.1,28.2,西,3.6,3.6,3.6,,,,,2.5,38329,207,1769,4,345,494,41148,42637,86411,4471,7,8,0.5,
臺中市,Ⅱ-II17,中清地下道,13,0,120.6479505,24.1962025,台74線,北屯一交流道,崇德交流道,13,0,16,987,平原區,4,28.2,東,3.6,3.6,3.6,,,,,2.5,40214,240,1846,5,404,485,43194,44861,172776,3452,16,17,0.57,
臺中市,Ⅱ-II17,中清地下道,13,0,120.6479505,24.1962025,台74線,北屯一交流道,崇德交流道,13,0,16,987,平原區,4,28.2,西,3.6,3.6,3.6,,,,,2.5,38424,207,1751,4,343,469,41198,42684,164792,4504,7,8,0.57,
臺中市,Ⅱ-II18,崇德交流道,16,700,120.6826479,24.201021,台74線,崇德交流道,潭子交流道,16,987,18,847,平原區,1.9,23.5,東,3.4,3.5,3.4,,,,,1,33040,209,1699,5,319,397,35669,37113,67771,2725,16,17,0.63,
臺中市,Ⅱ-II18,崇德交流道,16,700,120.6826479,24.201021,台74線,崇德交流道,潭子交流道,16,987,18,847,平原區,1.9,23.5,西,3.5,3.5,3.4,,,,,1,42123,278,2287,11,546,458,45703,47917,86836,4594,7,8,0.63,
