行政區別,村里別,第7案,第8案,第9案,第10案,第11案,第12案,第13案,第14案,第15案,第16案
　板橋區,文化里,0.731548008,0.703851262,0.720674012,0.679164106,0.630381304,0.595282433,0.495945103,0.378893833,0.383279743,0.589451176
　板橋區,宏翠里,0.765054745,0.751923947,0.761713521,0.698000851,0.628571429,0.613520408,0.468926554,0.37345679,0.380194518,0.606796117
　板橋區,仁翠里,0.735714286,0.706041479,0.730973451,0.700249792,0.659698997,0.596548891,0.511627907,0.351788756,0.37585034,0.551360843
　板橋區,新翠里,0.769590643,0.759433962,0.738904899,0.68349721,0.64673194,0.603480589,0.488365873,0.379215036,0.400733221,0.593259733
　板橋區,朝陽里,0.769806613,0.754752852,0.756052142,0.721461187,0.681431005,0.621281465,0.520651542,0.338332334,0.349819059,0.582003829
　板橋區,吉翠里,0.764044944,0.665230769,0.749262537,0.69772481,0.655059848,0.590859031,0.563287671,0.374358974,0.398255814,0.554545455
　板橋區,德翠里,0.780678851,0.760456274,0.772385904,0.690528634,0.659253158,0.607232267,0.455078125,0.354527391,0.358081097,0.589069424
　板橋區,新海里,0.821221865,0.759351621,0.781898177,0.690043832,0.667416995,0.615803815,0.525258324,0.33160323,0.355685131,0.582052858
　板橋區,滿翠里,0.74076756,0.707190511,0.736879942,0.696948682,0.668822768,0.62007874,0.560212908,0.353658537,0.370192308,0.561764706
　板橋區,明翠里,0.745151105,0.722477064,0.731652409,0.702172097,0.658444816,0.609991604,0.503615483,0.428447528,0.369063181,0.550797267
　板橋區,松翠里,0.765971755,0.740665309,0.755183946,0.687774295,0.647058824,0.629582807,0.51125,0.368762152,0.3731535,0.555099247
　板橋區,柏翠里,0.743603133,0.722367732,0.743312757,0.693641618,0.667309547,0.620128268,0.442808051,0.354950495,0.354726368,0.546645702
　板橋區,龍翠里,0.772097054,0.737050044,0.751843818,0.685714286,0.656802302,0.608119304,0.501668057,0.366987851,0.364814041,0.561946903
　板橋區,松柏里,0.761491761,0.729111697,0.761284722,0.699595142,0.671311475,0.624386252,0.480065094,0.354784081,0.354948805,0.545288198
　板橋區,華翠里,0.758054711,0.759704251,0.785498489,0.657836645,0.651201789,0.5747851,0.496354459,0.372321946,0.380787037,0.424
　板橋區,莒光里,0.733183857,0.703506098,0.732636296,0.694708277,0.659410112,0.605849582,0.501402525,0.355253753,0.367215462,0.567018072
　板橋區,忠翠里,0.773221243,0.756767927,0.779435814,0.661219837,0.64615084,0.604358257,0.440332476,0.374203822,0.355952381,0.593111982
